Name;X-coordinate;Y-coordinate;Z-coordinate;X-velocity;Y-velocity;Z-velocity;mass
uranus;-8.73014;16.5679;0.174345;-1.27757;-0.730811;0.0138602;0.00172372
neptune;25.5593;15.3989;-0.904812;-0.595867;0.99183;-0.00669347;0.00203369
sun;0.0146899;-0.00597506;-0.000373103;0.0014155;0.00275622;-5.0314e-05;39.4784
jupiter;-4.76735;2.50513;0.0961796;-1.32513;-2.29841;0.0391991;0.0376937
saturn;-9.47792;0.499152;0.36886;-0.223155;-2.03173;0.044166;0.0112863
uranus;-8.74291;16.5606;0.174483;-1.27704;-0.731808;0.0138497;0.00172372
neptune;25.5533;15.4088;-0.904879;-0.596246;0.991601;-0.00668002;0.00203369
sun;0.0147039;-0.00594743;-0.000373603;0.00140281;0.00276234;-5.0035e-05;39.4784
jupiter;-4.78048;2.48208;0.0965692;-1.31316;-2.3047;0.0389576;0.0376937
saturn;-9.48011;0.478833;0.369299;-0.218789;-2.03196;0.0439959;0.0112863
uranus;-8.75568;16.5532;0.174621;-1.27652;-0.732804;0.0138392;0.00172372
neptune;25.5474;15.4187;-0.904945;-0.596626;0.991372;-0.00666658;0.00203369
sun;0.0147178;-0.00591975;-0.000374101;0.00139011;0.00276841;-4.97551e-05;39.4784
jupiter;-4.7935;2.45897;0.0969564;-1.30116;-2.31093;0.0387152;0.0376937
saturn;-9.48225;0.458511;0.369738;-0.214423;-2.03218;0.0438257;0.0112863
uranus;-8.76844;16.5459;0.17476;-1.27599;-0.733799;0.0138287;0.00172372
neptune;25.5414;15.4286;-0.905012;-0.597006;0.991143;-0.00665313;0.00203369
sun;0.0147316;-0.005892;-0.000374596;0.00137738;0.00277441;-4.94744e-05;39.4784
jupiter;-4.80639;2.4358;0.0973411;-1.28914;-2.3171;0.0384719;0.0376937
saturn;-9.48435;0.438187;0.370174;-0.210059;-2.03238;0.0436553;0.0112863
uranus;-8.78119;16.5386;0.174898;-1.27546;-0.734794;0.0138182;0.00172372
neptune;25.5354;15.4385;-0.905078;-0.597385;0.990913;-0.00663968;0.00203369
sun;0.0147452;-0.0058642;-0.000375087;0.00136462;0.00278035;-4.91929e-05;39.4784
jupiter;-4.81916;2.41257;0.0977234;-1.27709;-2.3232;0.0382279;0.0376937
saturn;-9.48641;0.417861;0.370609;-0.205694;-2.03258;0.0434848;0.0112863
uranus;-8.79394;16.5312;0.175036;-1.27493;-0.735789;0.0138077;0.00172372
neptune;25.5294;15.4484;-0.905144;-0.597765;0.990684;-0.00662623;0.00203369
sun;0.0147588;-0.00583634;-0.000375577;0.00135184;0.00278623;-4.89105e-05;39.4784
jupiter;-4.83181;2.38928;0.0981032;-1.26502;-2.32925;0.037983;0.0376937
saturn;-9.48842;0.397534;0.371042;-0.20133;-2.03277;0.0433142;0.0112863
uranus;-8.80668;16.5238;0.175174;-1.2744;-0.736784;0.0137971;0.00172372
neptune;25.5235;15.4583;-0.90521;-0.598144;0.990454;-0.00661278;0.00203369
sun;0.0147722;-0.00580842;-0.000376063;0.00133904;0.00279205;-4.86273e-05;39.4784
jupiter;-4.84434;2.36592;0.0984806;-1.25292;-2.33523;0.0377373;0.0376937
saturn;-9.49039;0.377204;0.371474;-0.196967;-2.03295;0.0431434;0.0112863
uranus;-8.81942;16.5165;0.175312;-1.27388;-0.737778;0.0137866;0.00172372
neptune;25.5175;15.4682;-0.905276;-0.598523;0.990224;-0.00659932;0.00203369
sun;0.0147854;-0.00578044;-0.000376546;0.00132621;0.00279781;-4.83433e-05;39.4784
jupiter;-4.85675;2.34251;0.0988555;-1.24079;-2.34115;0.0374907;0.0376937
saturn;-9.49232;0.356873;0.371903;-0.192605;-2.03312;0.0429724;0.0112863
uranus;-8.83216;16.5091;0.17545;-1.27334;-0.738772;0.013776;0.00172372
neptune;25.5115;15.4781;-0.905342;-0.598902;0.989994;-0.00658587;0.00203369
sun;0.0147986;-0.0057524;-0.000377027;0.00131336;0.00280351;-4.80585e-05;39.4784
jupiter;-4.86903;2.31904;0.0992279;-1.22864;-2.34701;0.0372434;0.0376937
saturn;-9.4942;0.33654;0.372331;-0.188243;-2.03328;0.0428014;0.0112863
uranus;-8.84489;16.5017;0.175587;-1.27281;-0.739765;0.0137655;0.00172372
neptune;25.5055;15.488;-0.905408;-0.599282;0.989764;-0.00657242;0.00203369
sun;0.0148116;-0.00572431;-0.000377505;0.00130048;0.00280914;-4.77729e-05;39.4784
jupiter;-4.8812;2.29551;0.0995979;-1.21647;-2.35281;0.0369953;0.0376937
saturn;-9.49604;0.316206;0.372758;-0.183882;-2.03343;0.0426301;0.0112863
uranus;-8.85761;16.4943;0.175725;-1.27228;-0.740758;0.0137549;0.00172372
neptune;25.4995;15.4979;-0.905474;-0.599661;0.989534;-0.00655896;0.00203369
sun;0.0148244;-0.00569617;-0.000377979;0.00128759;0.00281471;-4.74865e-05;39.4784
jupiter;-4.89324;2.27193;0.0999653;-1.20427;-2.35855;0.0367464;0.0376937
saturn;-9.49783;0.29587;0.373182;-0.179521;-2.03357;0.0424588;0.0112863
uranus;-8.87033;16.4868;0.175862;-1.27175;-0.741751;0.0137443;0.00172372
